customerId,name,email,passwordHash,passwordSalt,tier,registeredDate
CUS-00001,Nguyễn Văn Thảo,thao.nguyen1@email.com,rkTOlEJsbnvMQqDl7g7bd3nj2h9PRhElIf1s5y4Xjjs=,qGhtJn9wh7YcXS/w/5pXRQ==,REGULAR,2025-10-21
CUS-00002,Nguyễn Ngọc Minh,minh.nguyen2@email.com,R7fMgQsywIP34jBUunhoAGliA4VEYdKozOtoYq5hXkc=,4mCEWofct5yo9wJHizQjtQ==,REGULAR,2024-10-24
CUS-00003,Bùi Ngọc Mai,mai.bui3@email.com,2Gv3AQDxp67/p7JXrQsyWICwecp+BnvUkz58tE74Ka4=,v60JdAFxblQAYrCDW8+c0g==,REGULAR,2025-10-28
CUS-00004,Bùi Minh Trung,trung.bui4@email.com,kEE4J8/UMJgM7vYTFkuH9gOQnZ14loAHyi7gIGR2OZo=,kEBSGbhlBpCLktm/t+eF8A==,VIP,2025-03-14
CUS-00005,Đỗ Văn Nam,nam.do5@email.com,LC04u29YCubUPDOjhhpEDFE0wGSTM5KJoV44jWEy/o4=,wthumDYXRreAYfcAv4HfaQ==,PREMIUM,2024-07-25
CUS-00006,Hồ Ngọc Yến,yen.ho6@email.com,jkLJY12iZaGLYrEHL8g5Mw+J3+ilamP9OXaMCfEIzRc=,aZ8cQ3/SHi0GDkJoJtsTQw==,PREMIUM,2024-10-14
CUS-00007,Võ Thị Phúc,phuc.vo7@email.com,HCMXWWRV6Ryiq7Q81tJSAbVzJGR1iuiMJpZl0ibg0Lg=,6KvOgiLCT7wyWx5kESQgpQ==,REGULAR,2025-12-11
CUS-00008,Vũ Hữu Trung,trung.vu8@email.com,bJB9ANfC3+iKMl0lnD4qVSRWHGSK3lqflFyHqkJAsIM=,qf0GRNSUwlrpSpBcYBC/qw==,PREMIUM,2024-01-08
CUS-00009,Ngô Hữu Sơn,son.ngo9@email.com,9+RKzXP/wkKw3nK3s+klFqyWbEEVLgB4mzOa9Md1I1k=,Boe89bc9X7yuAZQJV8Mw4A==,REGULAR,2025-04-26
CUS-00010,Nguyễn Đức Bình,binh.nguyen10@email.com,2VQ7aroWxcivqRUBWd2MCsMr2tMwQKhdcKztKZPnGmc=,3Dv6MUypf0aVV507sYolfA==,REGULAR,2025-08-13
CUS-00011,Phạm Thanh Hải,hai.pham11@email.com,6FFfaLS01xXdveap3Fmgy6X6MfG/Dvlxo9CgB59LLMY=,8UdJGgCppTm3b+PdPBN95w==,REGULAR,2024-08-29
CUS-00012,Phạm Hữu Tú,tu.pham12@email.com,Q7Ek2VZKS6JfMJxTe3W5IxLyizeDPiabwEn15d2tP1c=,ezJ+bppL1c44Gzzbpnc1Sg==,PREMIUM,2024-06-12
CUS-00013,Lý Anh Dũng,dung.ly13@email.com,AvbXoKH2TAFcenYiMxi1kHCEjliDHsWtV9FPq5BV3fI=,fIq76F4QJKLfY2ELoni68w==,REGULAR,2024-10-24
CUS-00014,Bùi Thị Lan,lan.bui14@email.com,sQmw+TmbZlmTFVv8gv7QUSB5+VRSChmcG6+JbXEWz4M=,lxJ3eTTGqaXYZA6CXxR6/w==,REGULAR,2024-09-10
CUS-00015,Đỗ Anh Phúc,phuc.do15@email.com,jdjvfUfiaJ2J1vziPf5a78rWRScXC6ybEtGA13M+t8Y=,PY8okmD2sz44R0uze+9tVg==,REGULAR,2024-07-24
CUS-00016,Trần Bảo Quân,quan.tran16@email.com,RMBhF5Rn94PQOO1Z+6wktgRtNtea6LdLZ37ubppQIOQ=,M+8Ao64mRJrVYX4omq5lmQ==,REGULAR,2024-03-20
